Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.37149,  1.04169,  0.25146
-0.00050,  0.00106,  1.10699,  0.15118,  0.52188,  0.03159
 0.00000,  0.00000,  0.00000, -0.07430,  0.52084,  0.18861
 0.00066, -0.00141, -1.47595, -0.22638,  0.29625, -0.00021
 0.00000,  0.00000,  0.00000,  0.00000,  0.74402,  0.22004
 0.00033, -0.00070, -0.73798,  0.07256,  0.37134, -0.03154
-0.00066,  0.00141,  1.47595,  0.15205,  0.89429, -0.15697
 0.00050, -0.00106, -1.10699,  0.07169,  0.37100, -0.09446
-0.00050,  0.00106,  1.10699,  0.22549,  0.67072, -0.09415
-0.00033,  0.00070,  0.73798,  0.15032,  0.74478, -0.06276
-0.00066,  0.00141,  1.47595, -0.14513,  0.44785,  0.28313
-0.00017,  0.00035,  0.36899,  0.29805,  1.04205,  0.18865
 0.00033, -0.00070, -0.73798,  0.36974,  0.37134,  0.15707
-0.00066,  0.00141,  1.47595,  0.00347,  0.59668,  0.06308
 0.00066, -0.00141, -1.47595, -0.07778,  0.51950,  0.09409
-0.00033,  0.00070,  0.73798,  0.22462,  0.29834,  0.09441
-0.00050,  0.00106,  1.10699,  0.00261,  0.37308,  0.06302
 0.00050, -0.00106, -1.10699,  0.07169,  0.29662,  0.03128
 0.00050, -0.00106, -1.10699,  0.29457,  0.59424, -0.09446
 0.00000,  0.00000,  0.00000, -0.14860, -0.14881, -0.09430
 0.00033, -0.00070, -0.73798, -0.22464,  0.59457,  0.09420
 0.00050, -0.00106, -1.10699, -0.07691,  0.51984,  0.15701
 0.00066, -0.00141, -1.47595,  0.14512,  0.66827,  0.78564
-0.00017,  0.00035,  0.36899,  0.14945,  0.29799,  0.15721
-0.00748,  0.00256,  3.31641,  0.08371, -0.22027, -0.03013
 0.00050, -0.00106, -1.10699, -0.15121,  0.14779, -0.28307
-0.00083,  0.00176,  1.84491,  0.00434,  0.52258, -0.59698
 0.00000,  0.00000,  0.00000, -0.14860,  0.52084, -0.28291
 0.00017, -0.00035, -0.36899, -0.00087,  0.89255, -0.25153
 0.00017, -0.00035, -0.36899, -0.44670,  0.44609, -0.03149
 0.00017, -0.00035, -0.36899, -0.14947,  0.52054,  0.12568
 0.00033, -0.00070, -0.73798, -0.15034,  0.59457, -0.06297
 0.00116, -0.00246, -2.58289, -0.22899,  0.59286,  0.12537
-0.00017,  0.00035,  0.36899,  0.00087,  0.81885, -0.09425
 0.00066, -0.00141, -1.47595, -0.15208,  0.74268, -0.03164
 0.00050, -0.00106, -1.10699, -0.22551,  0.81744, -0.06303
 0.00017, -0.00035, -0.36899, -0.07517,  0.44609, -0.06292
 0.00099, -0.00211, -2.21399, -0.22812,  0.51883,  0.03112
 0.00050, -0.00106, -1.10699, -0.07691,  0.81744, -0.12589
 0.00000,  0.00000,  0.00000,  0.07430,  0.74402, -0.09430
-0.00050,  0.00106,  1.10699, -0.14600,  0.44748,  0.03159
-0.00050,  0.00106,  1.10699, -0.14600,  1.04279,  0.00016
-0.00050,  0.00106,  1.10699,  0.22549,  0.67072,  0.15732
 0.00033, -0.00070, -0.73798, -0.00174,  0.74335, -0.03154
 0.00000,  0.00000,  0.00000,  0.00000,  0.44641, -0.06287
-0.00050,  0.00106,  1.10699, -0.07170,  0.67072,  0.00016
 0.00050, -0.00106, -1.10699, -0.29982,  0.59424, -0.15733
 0.00083, -0.00176, -1.84491, -0.07864,  0.14709, -0.06313
-0.00033,  0.00070,  0.73798,  0.29890,  0.37274, -0.12563
 0.01523,  0.00151,  2.58362,  0.00096,  0.75394,  0.00402
 0.00050, -0.00106, -1.10699, -0.37411,  0.14779, -0.00016
 0.00017, -0.00035, -0.36899,  0.14773,  0.96698,  0.03138
-0.00033,  0.00070,  0.73798, -0.07257,  0.74478, -0.03133
 0.00033, -0.00070, -0.73798, -0.15034,  0.59457, -0.06297
 0.00017, -0.00035, -0.36899, -0.14947,  0.44609, -0.06292
-0.00017,  0.00035,  0.36899,  0.07516,  0.22357, -0.31429
 0.00017, -0.00035, -0.36899, -0.37238,  0.44609,  0.06282
 0.00000,  0.00000,  0.00000, -0.29720,  0.44641,  0.09430
 0.00033, -0.00070, -0.73798, -0.00174,  0.37134, -0.03154
 0.00033, -0.00070, -0.73798, -0.07604,  0.66898, -0.09441
 0.00033, -0.00070, -0.73798, -0.07604,  0.37134, -0.03154
 0.00017, -0.00035, -0.36899, -0.00087,  0.74371,  0.03138
 0.00050, -0.00106, -1.10699, -0.00261,  0.66864, -0.03159
-0.00017,  0.00035,  0.36899,  0.07516,  0.52121,  0.06292
